index,source_kind,seed,volume,surface_area,bbox_x,bbox_y,bbox_z,elongation,flatness,sphericity,roughness,angularity,spike_score,compactness,stability_score,mass,cluster_id,cluster_label
246,tie_bridge_clast,1127227492,0.0011766642543909332,0.059159552866341086,0.17260654227124284,0.11292049944946782,0.120468797778112,1.432790444121156,1.066846129493273,0.9110893046956366,0.12576747446512376,0.2335861085784163,0.13000000019247593,0.5011271597458833,1.4857549871539686,3.0593270614164263,7,elongated_clast
247,equant_clast,634996373,0.0011806276043754566,0.05791192756469573,0.1419152659830898,0.13900714015419208,0.12599506628245744,1.0209206938986868,1.1032744714190952,0.9328061332496236,0.05406631452670362,0.23214317279105945,0.09857201012606254,0.47499951907406096,1.1591790895694318,3.069631771376187,0,compact_block_clast
248,course_block_clast,1710409402,0.0008795959048278039,0.047669282279387604,0.13522475698680048,0.11571050160313921,0.12753803551285248,1.0602700319401845,1.1022165987170207,0.931324391172896,0.07371800849840807,0.23181989715635726,0.08561104815366116,0.44077249876462704,1.1996411584016111,2.28694935255229,0,compact_block_clast
249,chock_clast,2114618740,0.0003468219025779838,0.02583692378814012,0.10257867496404269,0.08765628674098822,0.0796222150584219,1.1702375126515225,1.1009023885692129,0.923948286852269,0.10137627911413136,0.23174566865294874,0.1400000018865739,0.48443120061441913,1.310446538800299,0.9017369467027578,2,compact_block_clast_3
250,interlock_block_clast,1720303074,0.0005522378061290491,0.03515920452835368,0.12117976066106476,0.10400991876361688,0.09718923203474499,1.1650788896054205,1.0701794487524452,0.9258255756473521,0.10075676448652715,0.23183439396286637,0.15000000906139666,0.4508199609413945,1.235371905578834,1.4358182959355275,9,compact_block_clast_6
251,cap_block_clast,1469396816,0.0007982745224848653,0.04476846802284746,0.13661702629809902,0.10554125239596296,0.11303773337018233,1.2085966537447976,1.071028918115303,0.9295656575952124,0.0690678542208645,0.23260847662850606,0.13000165123507257,0.48978080069337876,1.2887356787167197,2.07551375846065,4,angular_clast_2
252,bearing_block_clast,715604990,0.0018912002780295848,0.0800609508794904,0.1789565425439103,0.16495420675134548,0.13115648393377324,1.0848862000450352,1.2576900645997662,0.9237513000840388,0.08632947004938106,0.23241344967567654,0.14000000058660178,0.4884687461472198,1.5852089212877858,4.917120722876921,1,compact_block_clast_2
253,buttress_clast,907043371,0.002529409457031321,0.09962357315304801,0.2167938125857577,0.1928096713657817,0.1434510846336426,1.1243928328391546,1.3440795645302732,0.9011590229682032,0.14994168035493619,0.22947741292534268,0.150000001294335,0.42183207983439375,1.8304988498447623,6.576464588281435,11,wedge_or_broad_clast
254,subangular_block,2058758282,0.0007180434781988586,0.04173708796531265,0.12622176006850963,0.11840255997292534,0.1071966843157092,1.0660391134902174,1.1045356554519288,0.9291000307946004,0.08344772716779358,0.2317317242978972,0.12873858614179,0.4482022840424349,1.2083565308423267,1.8669130433170322,9,compact_block_clast_6
255,course_block_clast,2051977857,0.00047548070421683363,0.0316622613169076,0.10457248753466422,0.09365074187036666,0.10608196316080762,1.0144347300301433,1.1166220944561835,0.9304594700196968,0.07338247220568948,0.23155687609060316,0.1300000013352529,0.45768079377865245,1.1768849347118804,1.2362498309637675,2,compact_block_clast_3
